timestamp,journal_id,player,stacks,guardian_points
1702667100,3691466415,530007e999, BalaGi,4,1404110
1702667245,3691481392,5a00028bbd, BOL,4,3194863
1702667052,3691461561,530007e999, BalaGi,4,3331706
1702667181,3691474812,5a00028bbd, BOL,4,2901263
1702666935,3691450144,530007e999, BalaGi,4,3388029
1702667131,3691469630,5a00028bbd, BOL,4,3126377
1702667070,3691463365,5a00028bbd, BOL,4,3120110
1702667020,3691458412,5a00028bbd, BOL,4,3039864
1702667888,3691544262,5200005f61, Brave Sir Robin,2,1136839
1702666950,3691451629,5a00028bbd, BOL,4,2919148
1702667802,3691536645,5200005f61, Brave Sir Robin,3,910700
1702666899,3691446784,5a00028bbd, BOL,4,2857586
1702666841,3691441895,5a00028bbd, BOL,4,2797540
1702667634,3691521147,5200005f61, Brave Sir Robin,4,692917
1702667512,3691509042,5200005f61, Brave Sir Robin,4,715471
1702667451,3691502840,5200005f61, Brave Sir Robin,4,771769
1702667261,3691483039,5200005f61, Brave Sir Robin,4,1156505
1702664101,3691215471,5a00028bbd, BOL,3,3276993
1702667173,3691473998,5200005f61, Brave Sir Robin,4,1205176
1702664044,3691210180,5a00028bbd, BOL,3,3072310
1702667074,3691463787,5200005f61, Brave Sir Robin,4,1351036
1702663996,3691205621,5a00028bbd, BOL,3,3357458
1702667026,3691458985,5200005f61, Brave Sir Robin,4,1254053
1702663945,3691200859,5a00028bbd, BOL,4,2684949
1702666977,3691454202,5200005f61, Brave Sir Robin,4,1265014
1702666938,3691450421,5200005f61, Brave Sir Robin,4,1357775
1702663908,3691197292,5a00028bbd, BOL,4,2892695
1702663804,3691187216,5a00028bbd, BOL,4,3004838
1702663736,3691180720,5a00028bbd, BOL,4,2414595
1702664108,3691216079,5200005f61, Brave Sir Robin,2,1788910
1702663666,3691173809,5a00028bbd, BOL,4,2879695
1702664066,3691212218,5200005f61, Brave Sir Robin,3,1431096
1702663597,3691166899,5a00028bbd, BOL,4,2357337
1702663553,3691162618,5a00028bbd, BOL,4,2390712
1702663989,3691204937,5200005f61, Brave Sir Robin,3,1461862
1702664153,3691220006,530007e999, BalaGi,2,5740375
1702663927,3691199153,5200005f61, Brave Sir Robin,4,1355381
1702664133,3691218253,530007e999, BalaGi,2,5483823
1702663883,3691194915,5200005f61, Brave Sir Robin,4,1401847
1702664114,3691216571,530007e999, BalaGi,2,5540868
1702663837,3691190462,5200005f61, Brave Sir Robin,4,1409713
1702664087,3691214254,530007e999, BalaGi,3,3898637
1702663790,3691185935,5200005f61, Brave Sir Robin,4,1531686
